fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_printproductid,,,,PricebookEntry,,
azt_printpurchaseid,,,,PricebookEntry,,
azt_probability,,,,PricebookEntry,,
azt_probabilitychangedon,,,,PricebookEntry,,
azt_probabilityincreased,,,,PricebookEntry,,
azt_productdiscountid,,,,PricebookEntry,,
azt_producttype,,,,PricebookEntry,,
azt_purchasedate,,,,PricebookEntry,,
azt_quantity,,,,PricebookEntry,,
azt_quotenumber,,,,PricebookEntry,,
azt_quoteproductid,,,,PricebookEntry,,
azt_reasonforexpense,,,,PricebookEntry,,
azt_recordowner,,,,PricebookEntry,,
azt_recordownerid,,,,PricebookEntry,,
azt_replacementproductid,,,,PricebookEntry,,
azt_requestedfreightamt,,,,PricebookEntry,,
azt_resolvedbyid,,,,PricebookEntry,,
azt_result,,,,PricebookEntry,,
azt_saas,,,,PricebookEntry,,
azt_saasstatus,,,,PricebookEntry,,
azt_salesrepid,,,,PricebookEntry,,
azt_softwarelicenseid,,,,PricebookEntry,,
azt_softwareproductid,,,,PricebookEntry,,
azt_startdate,,,,PricebookEntry,,
azt_stateabbreviation,,,,PricebookEntry,,
azt_stateprovince,,,,PricebookEntry,,
azt_suffix,,,,PricebookEntry,,
azt_suffixhasseparator,,,,PricebookEntry,,
azt_suffixseparator,,,,PricebookEntry,,
azt_suffixseparatorisspace,,,,PricebookEntry,,
azt_supportexpirationdate,,,,PricebookEntry,,
azt_total,,,,PricebookEntry,,
azt_totalamountpaid,,,,PricebookEntry,,
azt_totalfunding,,,,PricebookEntry,,
azt_totalreimbursement,,,,PricebookEntry,,
azt_trackingnumber,,,,PricebookEntry,,
azt_trackingnumbers,,,,PricebookEntry,,
azt_trainingid,,,,PricebookEntry,,
azt_year,,,,PricebookEntry,,
baseamount,,,,PricebookEntry,,
billto_line1,,,,PricebookEntry,,
billto_line2,,,,PricebookEntry,,
billto_line3,,,,PricebookEntry,,
billto_name,,,,PricebookEntry,,
billto_postalcode,,,,PricebookEntry,,
billto_stateorprovince,,,,PricebookEntry,,
body,,,,PricebookEntry,,
bpf_duration,,,,PricebookEntry,,
bpf_salesorderid,,,,PricebookEntry,,
businessprocessflowinstanceid,,,,PricebookEntry,,
businessunitid,,,,PricebookEntry,,
category,,,,PricebookEntry,,
city,,,,PricebookEntry,,
closeprobability,,,,PricebookEntry,,
companyname,,,,PricebookEntry,,
connectionid,,,,PricebookEntry,,
connectionroleid,,,,PricebookEntry,,
consideronlygoalownersrecords,,,,PricebookEntry,,
contactid,,,,PricebookEntry,,
country,,,,PricebookEntry,,
county,,,,PricebookEntry,,
createdby,,,,PricebookEntry,Created By,CreatedById
createdon,,,,PricebookEntry,Created Date,CreatedDate
crm3_expenseamount,,,,PricebookEntry,,
crm3_parentleadid,,,,PricebookEntry,,
customerid,,,,PricebookEntry,,
datefulfilled,,,,PricebookEntry,,
defaultuomid,,,,PricebookEntry,,
description,,,,PricebookEntry,,
discountamount,,,,PricebookEntry,,
discountpercentage,,,,PricebookEntry,,
emailaddress1,,,,PricebookEntry,,
estimatedclosedate,,,,PricebookEntry,,
estimatedvalue,,,,PricebookEntry,,
exchangerate,,,,PricebookEntry,,
ext_amt,,,,PricebookEntry,,
extendedamount,,,,PricebookEntry,,
fetchxml,,,,PricebookEntry,,
filename,,,,PricebookEntry,,
firstname,,,,PricebookEntry,,
freightamount,,,,PricebookEntry,,
freighttermscode,,,,PricebookEntry,,
from,,,,PricebookEntry,,
fullname,,,,PricebookEntry,,
goalenddate,,,,PricebookEntry,,
goalid,,,,PricebookEntry,,
goalownerid,,,,PricebookEntry,,
goalrollupqueryid,,,,PricebookEntry,,
goalstartdate,,,,PricebookEntry,,
incidentid,,,,PricebookEntry,,
internalemailaddress,,,,PricebookEntry,,
invline.productid,,,,PricebookEntry,,
invoicedetailid,,,,PricebookEntry,,
invoiceid,,,,PricebookEntry,,
invoicenumber,,,,PricebookEntry,,
isamount,,,,PricebookEntry,,
isfiscalperiodgoal,,,,PricebookEntry,,
isocurrencycode,,,,PricebookEntry,,
ispriceoverridden,,,,PricebookEntry,,
isproductoverridden,,,,PricebookEntry,,
isrevenuesystemcalculated,,,,PricebookEntry,,
jobtitle,,,,PricebookEntry,,
lastname,,,,PricebookEntry,,
