fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_duedate,Due Date,datetime,none,True,,,true,,1,3,0,0,0,0,0,1,0,0,0,,,,,,
enteredon,,,,False,,,true,,0,6,0,0,0,0,0,0,0,0,0,,,,,,
msdyn_liveworkstreamid,,,,False,,,false,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
objecttypecode,,,,False,,,true,,0,3,0,0,0,0,0,1,0,0,0,,,,,,
queueitemid,Queueitem,uniqueidentifier,required,False,,,true,,0,3,0,0,0,0,0,1,0,0,0,,,,,,
title,,,,False,,,true,,0,3,0,0,0,0,0,2,0,0,0,,,,,,
workerid,,,,False,,,false,,0,3,0,0,0,0,0,0,0,0,0,,,,,,
