fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
category,Connection Role Category,picklist,none,False,2026-03-21 08:50:30,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
connectionroleid,Connection Role,uniqueidentifier,required,False,2026-03-21 08:50:30,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,nvarchar,none,False,2026-03-21 08:01:41,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
name,Name,nvarchar,required,False,2026-03-21 08:50:30,,true,0,0,0,0,0,0,0,23,0,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-21 08:50:30,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,2026-03-21 08:50:30,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
