fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_reasonforexpense,,,,Pricebook2,,
azt_recordowner,,,,Pricebook2,,
azt_recordownerid,,,,Pricebook2,,
azt_replacementproductid,,,,Pricebook2,,
azt_requestedfreightamt,,,,Pricebook2,,
azt_resolvedbyid,,,,Pricebook2,,
azt_result,,,,Pricebook2,,
azt_saas,,,,Pricebook2,,
azt_saasstatus,,,,Pricebook2,,
azt_salesrepid,,,,Pricebook2,,
azt_softwarelicenseid,,,,Pricebook2,,
azt_softwareproductid,,,,Pricebook2,,
azt_startdate,,,,Pricebook2,,
azt_stateabbreviation,,,,Pricebook2,,
azt_stateprovince,,,,Pricebook2,,
azt_suffix,,,,Pricebook2,,
azt_suffixhasseparator,,,,Pricebook2,,
azt_suffixseparator,,,,Pricebook2,,
azt_suffixseparatorisspace,,,,Pricebook2,,
azt_supportexpirationdate,,,,Pricebook2,,
azt_total,,,,Pricebook2,,
azt_totalamountpaid,,,,Pricebook2,,
azt_totalfunding,,,,Pricebook2,,
azt_totalreimbursement,,,,Pricebook2,,
azt_trackingnumber,,,,Pricebook2,,
azt_trackingnumbers,,,,Pricebook2,,
azt_trainingid,,,,Pricebook2,,
azt_year,,,,Pricebook2,,
baseamount,,,,Pricebook2,,
billto_line1,,,,Pricebook2,,
billto_line2,,,,Pricebook2,,
billto_line3,,,,Pricebook2,,
billto_name,,,,Pricebook2,,
billto_postalcode,,,,Pricebook2,,
billto_stateorprovince,,,,Pricebook2,,
body,,,,Pricebook2,,
bpf_duration,,,,Pricebook2,,
bpf_salesorderid,,,,Pricebook2,,
businessprocessflowinstanceid,,,,Pricebook2,,
businessunitid,,,,Pricebook2,,
category,,,,Pricebook2,,
city,,,,Pricebook2,,
closeprobability,,,,Pricebook2,,
companyname,,,,Pricebook2,,
connectionid,,,,Pricebook2,,
connectionroleid,,,,Pricebook2,,
consideronlygoalownersrecords,,,,Pricebook2,,
contactid,,,,Pricebook2,,
country,,,,Pricebook2,,
county,,,,Pricebook2,,
createdby,,,,Pricebook2,Created By,CreatedById
createdon,,,,Pricebook2,Created Date,CreatedDate
crm3_expenseamount,,,,Pricebook2,,
crm3_parentleadid,,,,Pricebook2,,
customerid,,,,Pricebook2,,
datefulfilled,,,,Pricebook2,,
