fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_trackingnumbers,,,,Solution,,
azt_trainingid,,,,Solution,,
azt_year,,,,Solution,,
baseamount,,,,Solution,,
billto_line1,,,,Solution,,
billto_line2,,,,Solution,,
billto_line3,,,,Solution,,
billto_name,,,,Solution,,
billto_postalcode,,,,Solution,,
billto_stateorprovince,,,,Solution,,
body,,,,Solution,,
bpf_duration,,,,Solution,,
bpf_salesorderid,,,,Solution,,
businessprocessflowinstanceid,,,,Solution,,
businessunitid,,,,Solution,,
category,,,,Solution,,
city,,,,Solution,,
closeprobability,,,,Solution,,
companyname,,,,Solution,,
connectionid,,,,Solution,,
connectionroleid,,,,Solution,,
consideronlygoalownersrecords,,,,Solution,,
contactid,,,,Solution,,
country,,,,Solution,,
county,,,,Solution,,
createdon,,,,Solution,,
crm3_expenseamount,,,,Solution,,
crm3_parentleadid,,,,Solution,,
customerid,,,,Solution,,
datefulfilled,,,,Solution,,
defaultuomid,,,,Solution,,
description,,,,Solution,,
discountamount,,,,Solution,,
discountpercentage,,,,Solution,,
emailaddress1,,,,Solution,,
estimatedclosedate,,,,Solution,,
estimatedvalue,,,,Solution,,
ext_amt,,,,Solution,,
extendedamount,,,,Solution,,
fetchxml,,,,Solution,,
filename,,,,Solution,,
firstname,,,,Solution,,
freightamount,,,,Solution,,
freighttermscode,,,,Solution,,
from,,,,Solution,,
fullname,,,,Solution,,
goalenddate,,,,Solution,,
goalid,,,,Solution,,
goalownerid,,,,Solution,,
goalrollupqueryid,,,,Solution,,
goalstartdate,,,,Solution,,
incidentid,,,,Solution,,
internalemailaddress,,,,Solution,,
invline.productid,,,,Solution,,
invoicedetailid,,,,Solution,,
invoiceid,,,,Solution,,
invoicenumber,,,,Solution,,
isamount,,,,Solution,,
isfiscalperiodgoal,,,,Solution,,
isocurrencycode,,,,Solution,,
ispriceoverridden,,,,Solution,,
isproductoverridden,,,,Solution,,
isrevenuesystemcalculated,,,,Solution,,
jobtitle,,,,Solution,,
lastname,,,,Solution,,
manualdiscountamount,,,,Solution,,
metricid,,,,Solution,,
mimetype,,,,Solution,,
mobilephone,,,,Solution,,
modifiedon,,,,Solution,,
name,,,,Solution,,
objectid,,,,Solution,,
objecttypecode,,,,Solution,,
opportunityid,,,,Solution,,
opportunityproductid,,,,Solution,,
originatingleadid,,,,Solution,,
ownerid,,,,Solution,OwnerId,OwnerId
parentaccountid,,,,Solution,,
parentcontactid,,,,Solution,,
parentcustomerid,,,,Solution,,
parentgoalid,,,,Solution,,
parentsystemuserid,,,,Solution,,
partyid,,,,Solution,,
phonenumber,,,,Solution,,
pricelevelid,,,,Solution,,
priceperunit,,,,Solution,,
primarycontactid,,,,Solution,,
prod.productid,,,,Solution,,
productdescription,,,,Solution,,
productid,,,,Solution,,
productname,,,,Solution,,
productnumber,,,,Solution,,
producttypecode,,,,Solution,,
quantity,,,,Solution,,
queryentitytype,,,,Solution,,
queueid,,,,Solution,,
queueitemid,,,,Solution,,
quotedetailid,,,,Solution,,
quoteid,,,,Solution,,
record1id,,,,Solution,,
record1roleid,,,,Solution,,
record2id,,,,Solution,,
record2roleid,,,,Solution,,
regardingobjectid,,,,Solution,,
requestdeliveryby,,,,Solution,,
roleid,,,,Solution,,
rolluponlyfromchildgoals,,,,Solution,,
rollupqueryactualmoneyid,,,,Solution,,
salesorderdetailid,,,,Solution,,
salesorderdetailname,,,,Solution,,
salesorderid,,,,Solution,,
salesrepid,,,,Solution,,
scheduledend,,,,Solution,,
shippingmethodcode,,,,Solution,,
shipto_line1,,,,Solution,,
shipto_line2,,,,Solution,,
shipto_line3,,,,Solution,,
shipto_name,,,,Solution,,
shipto_postalcode,,,,Solution,,
shipto_stateorprovince,,,,Solution,,
state,,,,Solution,,
statecode,,,,Solution,,
stateorprovince,,,,Solution,,
statuscode,,,,Solution,,
street,,,,Solution,,
subject,,,,Solution,,
systemuserid,,,,Solution,,
tax,,,,Solution,,
teamid,,,,Solution,,
teamtype,,,,Solution,,
telephone1,,,,Solution,,
title,,,,Solution,,
tm.systemuserid,,,,Solution,,
to,,,,Solution,,
totalamount,,,,Solution,,
transactioncurrencyid,,,,Solution,,
uomid,,,,Solution,,
value,,,,Solution,,
zipcode,,,,Solution,,
{0},,,,Solution,,
