fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
bpf_duration,,,,Case,,
bpf_salesorderid,,,,Case,,
businessprocessflowinstanceid,,,,Case,,
businessunitid,,,,Case,,
category,,,,Case,,
city,,,,Case,,
closeprobability,,,,Case,,
companyname,,,,Case,,
connectionid,,,,Case,,
connectionroleid,,,,Case,,
consideronlygoalownersrecords,,,,Case,,
contactid,,,,Case,ContactId,ContactId
country,,,,Case,,
county,,,,Case,,
createdon,,,,Case,CreatedDate,CreatedDate
crm3_expenseamount,,,,Case,,
crm3_parentleadid,,,,Case,,
customerid,,,,Case,,
customers,,,,Case,,
datefulfilled,,,,Case,,
defaultuomid,,,,Case,,
description,,,,Case,Description,Description
discountamount,,,,Case,,
discountpercentage,,,,Case,,
emailaddress1,,,,Case,,
estimatedclosedate,,,,Case,,
estimatedvalue,,,,Case,,
ext_amt,,,,Case,,
extendedamount,,,,Case,,
fetchxml,,,,Case,,
filename,,,,Case,,
firstname,,,,Case,,
freightamount,,,,Case,,
freighttermscode,,,,Case,,
from,,,,Case,,
fullname,,,,Case,,
goalenddate,,,,Case,,
goalid,,,,Case,,
goalownerid,,,,Case,,
goalrollupqueryid,,,,Case,,
goalstartdate,,,,Case,,
incidentid,,,,Case,,
internalemailaddress,,,,Case,,
invline.productid,,,,Case,,
invoicedetailid,,,,Case,,
invoiceid,,,,Case,,
invoicenumber,,,,Case,,
isamount,,,,Case,,
isfiscalperiodgoal,,,,Case,,
isocurrencycode,,,,Case,,
ispriceoverridden,,,,Case,,
isproductoverridden,,,,Case,,
isrevenuesystemcalculated,,,,Case,,
jobtitle,,,,Case,,
lastname,,,,Case,,
manualdiscountamount,,,,Case,,
metricid,,,,Case,,
mimetype,,,,Case,,
mobilephone,,,,Case,,
modifiedon,,,,Case,LastModifiedDate,LastModifiedDate
name,,,,Case,,
objectid,,,,Case,,
objecttypecode,,,,Case,,
opportunityid,,,,Case,,
opportunityproductid,,,,Case,,
originatingleadid,,,,Case,,
ownerid,,,,Case,OwnerId,OwnerId
parentaccountid,,,,Case,,
parentcontactid,,,,Case,,
parentcustomerid,,,,Case,,
parentgoalid,,,,Case,,
parentsystemuserid,,,,Case,,
partyid,,,,Case,,
phonenumber,,,,Case,,
pricelevelid,,,,Case,,
priceperunit,,,,Case,,
primarycontactid,,,,Case,,
prioritycode,,,,Case,Priority,Priority
prod.productid,,,,Case,,
productdescription,,,,Case,,
productid,,,,Case,,
productname,,,,Case,,
productnumber,,,,Case,,
producttypecode,,,,Case,,
quantity,,,,Case,,
queryentitytype,,,,Case,,
queueid,,,,Case,,
queueitemid,,,,Case,,
quotedetailid,,,,Case,,
quoteid,,,,Case,,
record1id,,,,Case,,
record1roleid,,,,Case,,
record2id,,,,Case,,
record2roleid,,,,Case,,
regardingobjectid,,,,Case,,
requestdeliveryby,,,,Case,,
resolutiontypecode,,,,Case,,
roleid,,,,Case,,
rolluponlyfromchildgoals,,,,Case,,
rollupqueryactualmoneyid,,,,Case,,
salesorderdetailid,,,,Case,,
salesorderdetailname,,,,Case,,
salesorderid,,,,Case,,
salesrepid,,,,Case,,
scheduledend,,,,Case,,
shippingmethodcode,,,,Case,,
shipto_line1,,,,Case,,
shipto_line2,,,,Case,,
shipto_line3,,,,Case,,
shipto_name,,,,Case,,
shipto_postalcode,,,,Case,,
shipto_stateorprovince,,,,Case,,
state,,,,Case,,
statecode,,,,Case,,
stateorprovince,,,,Case,,
statuscode,,,,Case,,
street,,,,Case,,
subject,,,,Case,Subject,Subject
systemuserid,,,,Case,,
tax,,,,Case,,
teamid,,,,Case,,
teamtype,,,,Case,,
telephone1,,,,Case,,
title,,,,Case,Subject,Subject
tm.systemuserid,,,,Case,,
to,,,,Case,,
totalamount,,,,Case,,
transactioncurrencyid,,,,Case,,
uomid,,,,Case,,
value,,,,Case,,
zipcode,,,,Case,,
{0},,,,Case,,
